monotonic_s,rss_mb,phase
0.000,17.5,startup
0.502,99.8,build
1.002,105.7,cold
1.502,299.2,cold
2.003,1000.2,cold
2.503,1037.4,cold
3.003,968.2,cold
3.503,1037.4,cold
4.004,902.2,cold
4.504,1037.1,cold
5.004,884.2,cold
5.504,1036.2,cold
6.004,860.0,cold
6.505,1036.2,cold
7.005,1037.4,cold
7.505,1008.2,cold
8.005,1037.4,cold
8.505,958.2,cold
9.006,1037.4,cold
9.506,782.5,cold
10.006,782.5,cold
10.506,1096.1,cold
11.007,913.3,cold
11.507,1044.0,cold
12.007,1104.9,cold
12.507,989.3,cold
13.008,1104.9,cold
13.508,999.3,cold
14.008,1104.9,cold
14.508,1009.3,cold
15.009,1104.9,cold
15.509,995.3,cold
16.009,1104.9,cold
16.509,965.3,cold
17.010,1104.9,cold
17.510,945.3,cold
18.057,820.9,cold
18.578,821.9,cold
19.078,1100.7,cold
19.578,1103.8,cold
20.078,1109.8,cold
20.578,1113.8,cold
21.079,1115.8,cold
21.579,1121.8,cold
22.079,1125.8,cold
22.579,1129.8,cold
23.079,1131.8,cold
23.580,1137.8,cold
24.080,1141.8,cold
24.580,1145.8,cold
25.080,1149.8,cold
25.581,1155.8,cold
26.081,1159.8,cold
26.581,1161.8,cold
27.081,1165.8,cold
27.581,1171.8,cold
28.082,1175.8,cold
28.582,1177.8,cold
29.082,1181.8,cold
29.582,1187.8,cold
30.082,1191.8,cold
30.583,1195.8,cold
31.083,1201.8,cold
31.583,1205.8,cold
32.083,1207.8,cold
32.583,1211.8,cold
33.084,1217.8,cold
33.584,1221.8,cold
34.084,1223.8,cold
34.584,1227.8,cold
35.084,1233.8,cold
35.585,1237.8,cold
36.085,1241.8,cold
36.585,1245.8,cold
37.085,1251.8,cold
37.585,1253.8,cold
38.086,1257.8,cold
38.586,1261.8,cold
39.086,1267.8,cold
39.586,1269.8,cold
40.086,1273.8,cold
40.587,1279.8,cold
41.087,1281.8,cold
41.588,1285.8,cold
42.088,1289.8,cold
42.588,1295.8,cold
43.088,1297.8,cold
43.588,1301.8,cold
44.089,1307.8,cold
44.589,1311.8,cold
45.089,1315.8,cold
45.589,1319.8,cold
46.089,1325.8,cold
46.590,1327.8,cold
47.090,1331.8,cold
47.590,1335.8,cold
48.090,1341.8,cold
48.590,1343.8,cold
49.091,1347.8,cold
49.591,1351.8,cold
50.091,1357.8,cold
50.591,1359.8,cold
51.091,1365.8,cold
51.592,1369.8,cold
52.092,1373.8,cold
52.592,1375.8,cold
53.092,1381.8,cold
53.592,1385.8,cold
54.093,1389.8,cold
54.593,1393.8,cold
55.093,1397.8,cold
55.593,1401.8,cold
56.093,1405.8,cold
56.594,1411.8,cold
57.094,1415.8,cold
57.594,1419.8,cold
58.094,1421.8,cold
58.594,1427.8,cold
59.095,1431.8,cold
59.595,1435.8,cold
60.095,1439.8,cold
60.595,1445.8,cold
61.095,1449.8,cold
61.596,1451.8,cold
62.096,1455.8,cold
62.596,1461.8,cold
63.096,1465.8,cold
63.596,1467.8,cold
64.097,1471.8,cold
64.597,1477.8,cold
65.097,1481.8,cold
65.597,1485.8,cold
66.097,1489.8,cold
66.598,1493.8,cold
67.103,3442.2,cold
67.608,3656.4,cold
68.109,4111.1,cold
68.609,4252.1,cold
69.109,4197.5,cold
69.609,4265.5,cold
70.110,4343.7,cold
70.610,3982.2,cold
71.110,3998.2,cold
71.610,3992.1,cold
72.111,4004.7,cold
72.611,3972.3,cold
73.111,3891.0,cold
73.611,4931.9,cold
74.112,4243.4,cold
74.612,4566.6,cold
75.112,4597.7,cold
75.613,5341.9,cold
76.124,968.2,cold
80.070,991.6,cold
80.572,412.3,warm
81.072,1114.4,warm
81.573,1246.5,warm
82.073,1246.5,warm
82.573,1208.5,warm
83.073,1246.5,warm
83.574,1182.5,warm
84.074,1246.5,warm
84.574,1150.5,warm
85.074,1246.5,warm
85.575,1142.5,warm
86.075,1246.5,warm
86.575,1120.5,warm
87.075,1246.5,warm
87.576,1246.5,warm
88.076,1214.5,warm
88.576,991.1,warm
89.076,991.1,warm
89.577,1246.8,warm
90.077,1246.8,warm
90.577,1194.8,warm
91.077,1246.8,warm
91.578,1208.8,warm
92.078,1246.8,warm
92.578,1244.8,warm
93.078,1029.1,warm
93.579,1246.8,warm
94.079,1104.3,warm
94.580,1246.8,warm
95.080,1128.8,warm
95.580,1246.8,warm
96.080,1132.8,warm
96.581,1246.8,warm
97.081,1064.3,warm
97.581,1273.7,warm
98.082,1277.7,warm
98.582,1283.7,warm
99.082,1285.7,warm
99.582,1289.7,warm
100.082,1293.7,warm
100.583,1299.7,warm
101.083,1301.7,warm
101.583,1305.7,warm
102.083,1309.7,warm
102.584,1315.7,warm
103.084,1317.7,warm
103.584,1323.7,warm
104.084,1327.7,warm
104.585,1331.7,warm
105.086,1333.7,warm
105.586,1339.7,warm
106.087,1343.7,warm
106.587,1347.7,warm
107.087,1349.7,warm
107.588,1353.7,warm
108.088,1359.7,warm
108.588,1363.0,warm
109.088,1367.0,warm
109.589,1371.0,warm
110.089,1377.0,warm
110.589,1379.0,warm
111.089,1383.0,warm
111.590,1387.0,warm
112.090,1393.0,warm
112.590,1395.0,warm
113.090,1399.0,warm
113.591,1403.0,warm
114.091,1409.0,warm
114.591,1413.0,warm
115.091,1417.0,warm
115.591,1421.0,warm
116.092,1425.0,warm
116.592,1429.0,warm
117.092,1433.0,warm
117.592,1437.0,warm
118.093,1439.0,warm
118.593,1445.0,warm
119.093,1449.0,warm
119.593,1451.0,warm
120.094,1455.0,warm
120.594,1461.0,warm
121.094,1465.0,warm
121.594,1467.0,warm
122.095,1471.0,warm
122.595,1477.0,warm
123.095,1481.0,warm
123.595,1485.0,warm
124.096,1489.0,warm
124.596,1495.0,warm
125.097,1497.0,warm
125.597,1501.0,warm
126.097,1505.0,warm
126.597,1511.0,warm
127.098,1513.0,warm
127.598,1517.0,warm
128.098,1521.0,warm
128.598,1527.0,warm
129.099,1529.0,warm
129.599,1535.0,warm
130.099,1539.0,warm
130.599,1543.0,warm
131.099,1545.0,warm
131.600,1551.0,warm
132.100,1555.0,warm
132.600,1559.0,warm
133.100,1561.0,warm
133.601,1565.0,warm
134.101,1571.0,warm
134.601,1575.0,warm
135.101,1579.0,warm
135.602,1583.0,warm
136.102,1589.0,warm
136.602,1591.0,warm
137.102,1595.0,warm
137.602,1599.0,warm
138.103,1605.0,warm
138.603,1609.0,warm
139.103,1613.0,warm
139.603,1617.0,warm
140.104,1621.0,warm
140.604,1625.0,warm
141.104,1629.0,warm
141.604,1633.0,warm
142.105,1635.0,warm
142.605,1641.0,warm
143.105,1645.0,warm
143.605,1649.0,warm
144.106,1653.0,warm
144.606,1659.0,warm
145.106,1663.0,warm
145.606,2127.3,warm
146.107,3607.3,warm
146.607,3790.8,warm
147.107,4047.7,warm
147.608,4151.1,warm
148.108,4227.9,warm
148.609,4091.1,warm
149.109,4450.6,warm
149.609,4022.3,warm
150.110,4034.3,warm
150.610,3999.1,warm
151.110,4051.3,warm
151.611,4008.3,warm
152.111,3935.4,warm
152.611,4975.6,warm
153.112,4977.3,warm
153.612,4558.2,warm
154.112,4529.3,warm
154.612,5375.2,warm
155.113,4961.5,warm
159.121,330.2,warm
