monotonic_s,rss_mb,phase
0.002,17.6,startup
0.502,98.6,cold
1.002,453.8,cold
1.503,302.5,cold
2.003,212.8,cold
2.504,465.0,cold
3.004,322.4,cold
3.504,253.8,cold
4.004,253.8,cold
4.504,357.2,cold
5.005,357.2,cold
5.505,357.2,cold
6.005,357.2,cold
6.505,357.2,cold
7.005,357.2,cold
7.505,357.2,cold
8.006,357.2,cold
8.506,357.2,cold
9.006,359.2,cold
9.506,359.2,cold
10.006,359.2,cold
10.507,361.2,cold
11.007,361.2,cold
11.507,361.2,cold
12.007,363.2,cold
12.507,732.0,cold
13.008,913.1,cold
13.508,854.5,cold
14.008,832.4,cold
14.671,255.5,cold
15.172,487.3,warm
15.672,619.5,warm
16.173,363.7,warm
16.673,481.2,warm
17.173,619.6,warm
17.673,467.8,warm
18.173,467.8,warm
18.674,467.8,warm
19.174,467.8,warm
19.674,467.8,warm
20.174,467.8,warm
20.674,467.8,warm
21.175,467.8,warm
21.675,467.8,warm
22.175,467.8,warm
22.676,469.8,warm
23.176,469.8,warm
23.676,469.8,warm
24.176,471.8,warm
24.677,471.8,warm
25.177,473.8,warm
25.682,364.6,warm
26.196,823.7,warm
26.696,898.1,warm
27.197,869.1,warm
28.026,257.5,done
