monotonic_s,rss_mb,phase
0.000,17.4,startup
0.501,98.6,cold
1.001,448.9,cold
1.501,288.2,cold
2.001,212.8,cold
2.502,449.1,cold
3.002,535.4,cold
3.502,254.0,cold
4.002,254.0,cold
4.503,357.4,cold
5.003,357.4,cold
5.503,357.4,cold
6.003,357.4,cold
6.503,357.4,cold
7.003,357.4,cold
7.504,357.4,cold
8.004,357.4,cold
8.504,357.4,cold
9.004,359.4,cold
9.504,359.4,cold
10.005,359.4,cold
10.505,361.4,cold
11.005,361.4,cold
11.506,361.4,cold
12.006,363.4,cold
12.506,734.7,cold
13.006,914.8,cold
13.507,856.3,cold
14.007,838.9,cold
14.589,255.5,cold
15.090,491.5,warm
15.591,619.6,warm
16.091,364.0,warm
16.591,489.7,warm
17.091,619.9,warm
17.592,468.2,warm
18.092,468.2,warm
18.592,468.2,warm
19.092,468.2,warm
19.593,468.2,warm
20.093,468.2,warm
20.593,468.2,warm
21.093,468.2,warm
21.593,468.2,warm
22.094,468.2,warm
22.594,470.2,warm
23.094,470.2,warm
23.594,470.2,warm
24.095,472.2,warm
24.595,472.2,warm
25.095,472.2,warm
25.595,474.2,warm
26.095,806.8,warm
26.596,902.5,warm
27.096,877.5,warm
27.596,855.7,warm
28.240,256.9,done
