radials,build,arm,round,segments,cold_s,warm_s,rss_mb,tracemalloc_mb,z_re,z_im,failed,note
12,momwire,momwire#0,1,680,3.2244,2.1348,297.6,159.6,52.6055,38.3242,0,
12,x13,x13#1,1,,1.2377,1.2277,93.6,,52.294,36.438,0,
12,3b75639,3b75639#2,1,,0.2957,0.3298,93.4,,52.294,36.438,0,
12,x13,x13#3,1,,1.2522,1.2236,93.6,,52.294,36.438,0,
12,momwire,momwire#4,1,680,3.2281,2.1813,297.8,159.6,52.6055,38.3242,0,
12,momwire,momwire#0,2,680,3.2042,2.122,297.5,159.6,52.6055,38.3242,0,
12,x13,x13#1,2,,1.224,1.2222,93.5,,52.294,36.438,0,
12,3b75639,3b75639#2,2,,0.3074,0.2943,93.6,,52.294,36.438,0,
12,x13,x13#3,2,,1.2251,1.2227,93.5,,52.294,36.438,0,
12,momwire,momwire#4,2,680,3.2098,2.1219,297.7,159.6,52.6055,38.3242,0,
24,momwire,momwire#0,1,1328,6.0954,4.8922,531.5,368.8,46.159,32.8466,0,
24,x13,x13#1,1,,4.2078,4.2161,93.8,,45.862,30.974,0,
24,3b75639,3b75639#2,1,,0.7895,0.7902,93.7,,45.862,30.974,0,
24,x13,x13#3,1,,4.1909,4.2004,93.6,,45.862,30.974,0,
24,momwire,momwire#4,1,1328,6.1222,4.8638,531.4,368.8,46.159,32.8466,0,
24,momwire,momwire#0,2,1328,6.1272,4.8849,531.3,368.8,46.159,32.8466,0,
24,x13,x13#1,2,,4.1957,4.2084,93.6,,45.862,30.974,0,
24,3b75639,3b75639#2,2,,0.7871,0.8071,93.9,,45.862,30.974,0,
24,x13,x13#3,2,,4.1911,4.1921,94.0,,45.862,30.974,0,
24,momwire,momwire#4,2,1328,6.0551,4.9398,531.5,368.8,46.159,32.8466,0,
36,momwire,momwire#0,1,1976,10.5381,9.3117,784.1,658.7,44.3316,30.4813,0,
36,x13,x13#1,1,,9.1991,9.1099,93.7,,44.039,28.618,0,
36,3b75639,3b75639#2,1,,1.6192,1.6169,94.3,,44.039,28.618,0,
36,x13,x13#3,1,,9.1429,9.1416,93.5,,44.039,28.618,0,
36,momwire,momwire#4,1,1976,10.5711,9.2292,784.2,658.7,44.3316,30.4813,0,
36,momwire,momwire#0,2,1976,10.617,9.2937,784.6,658.7,44.3316,30.4813,0,
36,x13,x13#1,2,,9.1138,9.1567,94.1,,44.039,28.618,0,
36,3b75639,3b75639#2,2,,1.6273,1.6174,93.6,,44.039,28.618,0,
36,x13,x13#3,2,,9.1389,9.1375,94.2,,44.039,28.618,0,
36,momwire,momwire#4,2,1976,10.5552,9.2835,783.2,658.7,44.3316,30.4813,0,
