design,variant,class,rung,nominal_nsegs,freq_mhz,zmin,zmax,crossing_nodes,nec5_segs,deck_sha,ge_card,shipped_status,mid_status,main_status,nec5_status,R_shipped,X_shipped,R_mid,X_mid,R_main,X_main,R_nec5,X_nec5,dR_shipped,dX_shipped,dR_mid,dX_mid,dR_main,dX_main,dR_1004,dX_1004,dR_wterms,dX_wterms,shipped_commit,main_commit,mid_commit,shipped_fill_sha,mid_fill_sha,shipped_below_sha,mid_below_sha,main_below_sha,main_fill_sha,shipped_TW,main_TW,exe_sha,refusals
specialty.buried_dipole,default,wholly-buried,default,21,7.1,-0.15,-0.15,0,52,e76e8db7a58b6b24,GE -1 0,ok,ok,ok,ok,146.7897,45.8227,146.7897,45.8227,146.7897,45.8227,146.3900,44.3820,+0.3997,+1.4407,+0.3997,+1.4407,+0.3997,+1.4407,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,8ee8341,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,7ebf343d7d01283b,
specialty.buried_dipole,default,wholly-buried,refined,42,7.1,-0.15,-0.15,0,102,c25b4a8286588137,GE -1 0,ok,ok,ok,ok,146.7791,45.7280,146.7791,45.7280,146.7791,45.7280,146.4800,44.3820,+0.2991,+1.3460,+0.2991,+1.3460,+0.2991,+1.3460,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,8ee8341,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,7ebf343d7d01283b,
verticals.buried_radial_vertical,default,crossing,default,21,7.1,-0.15,10.556072464788734,1,249,1fde9883e2a298fc,GE -1 0,ok,ok,ok,ok,78.1321,46.3377,78.1321,46.3377,78.1321,46.3377,77.8050,44.4680,+0.3271,+1.8697,+0.3271,+1.8697,+0.3271,+1.8697,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,8ee8341,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,7ebf343d7d01283b,
verticals.buried_radial_vertical,default,crossing,refined,42,7.1,-0.15,10.556072464788734,1,475,f05619aba0981d26,GE -1 0,ok,ok,ok,ok,78.1425,46.3863,78.1425,46.3863,78.1425,46.3863,77.9370,45.2030,+0.2055,+1.1833,+0.2055,+1.1833,+0.2055,+1.1833,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,37b83a5,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,7ebf343d7d01283b,
verticals.buried_radial_vertical,bundle,crossing,default,21,7.1,-0.15,10.556072464788734,1,,,,ok,ok,ok,cell-failed,78.1344,46.6461,78.1344,46.6461,78.1344,46.6461,,,,,,,,,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,37b83a5,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,,"nec5: NotImplementedError: wires 2 and 4 are geometrically coincident (identical endpoints): the N-coincident-rise bundle is momwire's crossing-serve spelling and NEC-5 prints garbage for it silently — de-duplicate the bundle, or use the detached-radial spelling NEC-5's own convention serves (the momwire#"
verticals.buried_radial_vertical,bundle,crossing,refined,42,7.1,-0.15,10.556072464788734,1,,,,ok,ok,ok,cell-failed,78.1447,46.6948,78.1447,46.6948,78.1447,46.6948,,,,,,,,,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,37b83a5,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,,"nec5: NotImplementedError: wires 2 and 4 are geometrically coincident (identical endpoints): the N-coincident-rise bundle is momwire's crossing-serve spelling and NEC-5 prints garbage for it silently — de-duplicate the bundle, or use the detached-radial spelling NEC-5's own convention serves (the momwire#"
verticals.buried_radial_vertical,detached,contact+split,default,21,7.1,-0.15,10.556072464788734,1,,,,refused,cell-failed,cell-failed,cell-failed,,,,,,,,,,,,,,,,,,,1dbd384,,,8a1373f346fe8308,,592d67b9d298aba3,,,,4,,,"shipped: ValueError: wire 4 stands an END in the ground plane (ground CONTACT) and wire 0 is buried below it: that COMBINATION is not served, though each half is. momwire's contact model continues the wire's current into the ground as the C2-scaled IMAGE (momwire#151), which is a fiction that works because n | mid: ValueError: momwire refuses this deck's buried geometry: wire 4 stands an END in th"
verticals.buried_radial_vertical,detached,contact+split,refined,42,7.1,-0.15,10.556072464788734,1,,,,refused,cell-failed,cell-failed,cell-failed,,,,,,,,,,,,,,,,,,,1dbd384,,,8a1373f346fe8308,,592d67b9d298aba3,,,,4,,,"shipped: ValueError: wire 4 stands an END in the ground plane (ground CONTACT) and wire 0 is buried below it: that COMBINATION is not served, though each half is. momwire's contact model continues the wire's current into the ground as the C2-scaled IMAGE (momwire#151), which is a fiction that works because n | mid: ValueError: momwire refuses this deck's buried geometry: wire 4 stands an END in th"
verticals.elevated_buried_counterpoise,default,split,default,21,7.1,-0.15,11.056072464788734,0,239,14239f58d8073ceb,GE -1 0,ok,ok,ok,ok,44.5602,-73719.3196,44.5602,-73719.3196,44.5602,-73719.3196,30.6430,-61604.0000,+13.9172,-12115.3196,+13.9172,-12115.3196,+13.9172,-12115.3196,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,37b83a5,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,7ebf343d7d01283b,
verticals.elevated_buried_counterpoise,default,split,refined,42,7.1,-0.15,11.056072464788734,0,472,5c08c0eee924e8fe,GE -1 0,ok,ok,ok,ok,42.7896,-72708.6105,42.7896,-72708.6105,42.7896,-72708.6105,29.4170,-61557.0000,+13.3726,-11151.6105,+13.3726,-11151.6105,+13.3726,-11151.6105,+0.000000,+0.000000,+0.000000,+0.000000,1dbd384,37b83a5,54caf86,8a1373f346fe8308,859c6e0f0a0524c6,592d67b9d298aba3,3998379fb76bc776,3998379fb76bc776,859c6e0f0a0524c6,4,5,7ebf343d7d01283b,
