 eps_r  sigma   |eps~|  g=|e-1|/|e+1|  nonrec     razor Z             bspline Z           NEC-5 Z            dR(rz-n5) dX(rz-n5) dR(bs-n5)
   1.0  0.000    1.00     0.0000   1.470e-05     16.92 -749.24j     17.22 -753.67j     11.44 -721.71j    +5.49  -27.53    +5.78
   1.1  0.000    1.10     0.0476   6.825e-04     18.18 -728.96j     18.68 -733.04j     18.37 -729.01j    -0.19   +0.05    +0.31
   1.5  0.000    1.50     0.2000   2.478e-03     22.98 -657.31j     24.12 -660.34j     23.75 -657.41j    -0.77   +0.10    +0.37
   2.0  0.000    2.00     0.3333   3.777e-03     28.49 -584.52j     30.00 -586.79j     29.58 -584.84j    -1.10   +0.32    +0.42
   4.0  0.000    4.00     0.6000   7.542e-03     45.62 -399.84j     46.31 -401.75j     45.84 -401.72j    -0.22   +1.88    +0.47
  13.0  0.000   13.00     0.8571   2.643e-02     77.89 -144.54j     71.55 -149.09j     71.20 -150.43j    +6.70   +5.89    +0.36
  30.0  0.000   30.00     0.9355   5.732e-02     97.25  -37.70j     84.49  -42.08j     84.19  -43.72j   +13.07   +6.02    +0.30
  80.0  0.000   80.00     0.9753   1.139e-01    193.62 +102.07j    165.93 +122.00j    161.91 +116.32j   +31.71  -14.25    +4.02
   1.0  0.002    5.23     0.9318   9.758e-03    436.15 -288.33j    434.78 -276.80j    432.44 -279.63j    +3.71   -8.70    +2.34
   5.0  0.001    5.62     0.7283   1.113e-02    170.87 -318.93j    169.42 -318.58j    168.25 -319.40j    +2.62   +0.47    +1.17
  13.0  0.005   18.27     0.9251   3.236e-02    184.96  -86.01j    175.44  -86.68j    175.01  -88.29j    +9.95   +2.27    +0.43
  13.0  0.050  129.05     0.9984   9.910e-02    125.39  -11.21j    120.63  -12.31j    120.49  -13.29j    +4.90   +2.08    +0.14
