 eps_r  sigma   |eps~|  g=|e-1|/|e+1|  nonrec     razor Z             bspline Z           NEC-5 Z            dR(rz-n5) dX(rz-n5) dR(bs-n5)
   1.0  0.000    1.00     0.0000   1.470e-05     16.92 -749.24j     17.22 -753.67j     11.44 -721.71j    +5.49  -27.53    +5.78
   1.1  0.000    1.10     0.0476   1.422e-05     18.37 -728.95j     18.68 -733.04j     18.37 -729.01j    +0.00   +0.06    +0.31
   1.5  0.000    1.50     0.2000   1.246e-05     23.75 -657.35j     24.12 -660.34j     23.75 -657.41j    +0.00   +0.06    +0.37
   2.0  0.000    2.00     0.3333   1.057e-05     29.59 -584.79j     30.00 -586.79j     29.58 -584.84j    +0.00   +0.05    +0.42
   4.0  0.000    4.00     0.6000   4.612e-06     45.84 -401.70j     46.31 -401.75j     45.84 -401.72j    +0.00   +0.02    +0.47
  13.0  0.000   13.00     0.8571   2.388e-05     71.20 -150.47j     71.55 -149.09j     71.20 -150.43j    +0.01   -0.04    +0.36
  30.0  0.000   30.00     0.9355   1.182e-04     84.20  -43.82j     84.49  -42.08j     84.19  -43.72j    +0.01   -0.09    +0.30
  80.0  0.000   80.00     0.9753   6.260e-04    161.77 +116.16j    165.93 +122.00j    161.91 +116.32j    -0.14   -0.16    +4.02
   1.0  0.002    5.23     0.9318   1.415e-05    432.34 -279.61j    434.78 -276.80j    432.44 -279.63j    -0.10   +0.02    +2.34
   5.0  0.001    5.62     0.7283   7.073e-06    168.23 -319.40j    169.42 -318.58j    168.25 -319.40j    -0.02   +0.00    +1.17
  13.0  0.005   18.27     0.9251   4.039e-05    174.97  -88.36j    175.44  -86.68j    175.01  -88.29j    -0.04   -0.07    +0.43
  13.0  0.050  129.05     0.9984   6.793e-04    120.48  -13.42j    120.63  -12.31j    120.49  -13.29j    -0.01   -0.13    +0.14
