{'rod': 'b', 'momwire_file': '/home/smburns/stevenmburns/antennaknobs/momwire/src/momwire/__init__.py'}
control  obs      z=425.07238-360.56933j kcl=2.61e-05 slope-vs-AGARD=2.887e-01 | VC z=442.12355-355.43337j | VC_keep z=425.0724-360.56931j kcl=1.71e-16 slope-vs-AGARD=2.921e-01  NEC-5 425.38-362.06j
control  node_A   z=425.07238-360.56933j kcl=2.61e-05 slope-vs-AGARD=2.887e-01 | VC z=442.12355-355.43337j | VC_keep z=425.0724-360.56931j kcl=1.71e-16 slope-vs-AGARD=2.921e-01  NEC-5 425.38-362.06j
control  node_B   z=425.07238-360.56933j kcl=2.61e-05 slope-vs-AGARD=2.887e-01 | VC z=442.12355-355.43337j | VC_keep z=425.0724-360.56931j kcl=1.71e-16 slope-vs-AGARD=2.921e-01  NEC-5 425.38-362.06j
control  single_B z=425.07238-360.56933j kcl=2.61e-05 slope-vs-AGARD=2.887e-01 | VC z=442.12355-355.43337j | VC_keep z=425.0724-360.56931j kcl=1.71e-16 slope-vs-AGARD=2.921e-01  NEC-5 425.38-362.06j
ratio2   obs      z=425.45978-362.68704j kcl=1.53e-05 slope-vs-AGARD=2.917e-01 | VC z=477.63654-391.85201j | VC_keep z=426.55448-362.64361j kcl=1.72e-16 slope-vs-AGARD=2.890e-01  NEC-5 460.77-398.41j
ratio2   node_A   z=460.59035-396.97527j kcl=1.13e-03 slope-vs-AGARD=4.502e-01 | VC z=477.63654-391.85201j | VC_keep z=460.59266-396.97521j kcl=1.32e-16 slope-vs-AGARD=2.221e-02  NEC-5 460.77-398.41j
ratio2   node_B   z=460.59259-396.97568j kcl=2.01e-06 slope-vs-AGARD=2.242e-02 | VC z=477.63654-391.85201j | VC_keep z=460.59258-396.97568j kcl=1.32e-16 slope-vs-AGARD=2.221e-02  NEC-5 460.77-398.41j
ratio2   single_B z=460.594-396.97572j kcl=1.38e-06 slope-vs-AGARD=2.907e-02 | VC z=477.63796-391.85207j | VC_keep z=460.594-396.97572j kcl=1.32e-16 slope-vs-AGARD=2.888e-02  NEC-5 460.77-398.41j
ratio4   obs      z=425.92274-364.40029j kcl=9.02e-06 slope-vs-AGARD=2.932e-01 | VC z=513.02081-428.21067j | VC_keep z=427.95857-364.31552j kcl=1.73e-16 slope-vs-AGARD=2.858e-01  NEC-5 496.04-434.71j
ratio4   node_A   z=495.97712-433.32092j kcl=2.26e-03 slope-vs-AGARD=3.054e+00 | VC z=513.02081-428.21067j | VC_keep z=495.98421-433.32107j kcl=2.03e-16 slope-vs-AGARD=2.821e-01  NEC-5 496.04-434.71j
ratio4   node_B   z=495.98412-433.32175j kcl=1.02e-05 slope-vs-AGARD=2.794e-01 | VC z=513.02081-428.21067j | VC_keep z=495.9841-433.32177j kcl=2.03e-16 slope-vs-AGARD=2.821e-01  NEC-5 496.04-434.71j
ratio4   single_B z=495.98678-433.3219j kcl=9.50e-06 slope-vs-AGARD=2.580e-01 | VC z=513.0235-428.21081j | VC_keep z=495.9868-433.32189j kcl=2.03e-16 slope-vs-AGARD=2.601e-01  NEC-5 496.04-434.71j
ratio05  obs      z=460.93579-394.55824j kcl=2.14e-05 slope-vs-AGARD=2.335e-01 | VC z=442.31569-355.23853j | VC_keep z=459.4052-394.55848j kcl=1.86e-16 slope-vs-AGARD=2.417e-01  NEC-5 425.64-361.92j
ratio05  node_A   z=425.26105-360.44642j kcl=4.08e-04 slope-vs-AGARD=4.996e-01 | VC z=442.31569-355.23853j | VC_keep z=425.26077-360.44646j kcl=1.71e-16 slope-vs-AGARD=4.598e-01  NEC-5 425.64-361.92j
ratio05  node_B   z=425.26082-360.44602j kcl=4.61e-05 slope-vs-AGARD=4.558e-01 | VC z=442.31569-355.23853j | VC_keep z=425.26084-360.44599j kcl=1.71e-16 slope-vs-AGARD=4.598e-01  NEC-5 425.64-361.92j
ratio05  single_B z=425.25995-360.44608j kcl=4.49e-05 slope-vs-AGARD=4.442e-01 | VC z=442.31486-355.23854j | VC_keep z=425.26001-360.44601j kcl=1.71e-16 slope-vs-AGARD=4.487e-01  NEC-5 425.64-361.92j
saved scratch/u5-mixed-radius/check3k_b.json
